iso3,scenario,hiv,measure,year,best,lo,hi
IND,Baseline,a,mort,2024,28.6539,23.5035,33.9662
IND,COVID,a,mort,2024,30.0893,24.6315,35.8558
KAZ,Baseline,a,inc,2019,67.6073,44.0835,97.2113
KAZ,COVID,a,inc,2019,67.6073,44.0835,97.2113
KAZ,Baseline,a,mort,2019,3.5555,3.2505,3.848
KAZ,COVID,a,mort,2019,3.5555,3.2505,3.848
KAZ,Baseline,a,inc,2020,66.6444,44.7606,94.5866
KAZ,COVID,a,inc,2020,66.4625,45.3656,94.4255
KAZ,Baseline,a,mort,2020,3.4706,3.1734,3.7504
KAZ,COVID,a,mort,2020,4.3937,3.9451,4.7575
KAZ,Baseline,a,inc,2021,65.5901,45.2247,92.5367
KAZ,COVID,a,inc,2021,74.3168,52.4119,102.2209
KAZ,Baseline,a,mort,2021,3.4054,3.0968,3.6897
KAZ,COVID,a,mort,2021,6.7386,5.8317,7.5148
KAZ,Baseline,a,inc,2022,65.0182,44.8502,90.9491
KAZ,COVID,a,inc,2022,88.5982,55.9963,122.6278
KAZ,Baseline,a,mort,2022,3.3416,3.0414,3.6378
KAZ,COVID,a,mort,2022,7.5278,6.4844,9.1003
KAZ,Baseline,a,inc,2023,64.2798,44.4957,89.6158
KAZ,COVID,a,inc,2023,86.7507,46.5091,127.0127
KAZ,Baseline,a,mort,2023,3.2897,2.9941,3.5864
KAZ,COVID,a,mort,2023,4.6068,3.5485,5.994
KAZ,Baseline,a,inc,2024,63.763,44.1667,88.4718
KAZ,COVID,a,inc,2024,79.8496,42.1733,118.8302
KAZ,Baseline,a,mort,2024,3.2472,2.9553,3.5405
KAZ,COVID,a,mort,2024,4.1096,3.3154,5.4715
KEN,Baseline,a,inc,2019,265.4527,161.1262,390.0919
KEN,Baseline,pos,inc,2019,67.2867,41.8629,99.7605
KEN,COVID,a,inc,2019,265.4527,161.1262,390.0919
KEN,COVID,pos,inc,2019,67.2866,41.8629,99.7605
KEN,Baseline,a,mort,2019,60.8935,41.382,84.1453
KEN,Baseline,pos,mort,2019,23.1116,14.2652,34.8727
KEN,COVID,a,mort,2019,60.8935,41.382,84.1453
KEN,COVID,pos,mort,2019,23.1116,14.2652,34.8727
KEN,Baseline,a,inc,2020,254.9282,153.7188,382.9199
KEN,Baseline,pos,inc,2020,62.2768,39.7282,92.7358
KEN,COVID,a,inc,2020,249.5553,155.6683,368.4414
KEN,COVID,pos,inc,2020,59.7806,39.5659,87.54
KEN,Baseline,a,mort,2020,58.2942,39.5584,81.3965
KEN,Baseline,pos,mort,2020,21.4005,12.9447,32.5067
KEN,COVID,a,mort,2020,59.7098,40.8232,82.6271
KEN,COVID,pos,mort,2020,21.6725,13.286,32.8285
KEN,Baseline,a,inc,2021,246.1858,144.8777,375.1405
KEN,Baseline,pos,inc,2021,58.5456,37.7174,86.9247
KEN,COVID,a,inc,2021,250.6735,151.0199,372.2986
KEN,COVID,pos,inc,2021,59.9453,38.3804,89.8876
KEN,Baseline,a,mort,2021,56.4545,37.794,79.4529
KEN,Baseline,pos,mort,2021,19.8881,12.0076,30.466
KEN,COVID,a,mort,2021,60.0305,41.1672,83.0586
KEN,COVID,pos,mort,2021,21.4157,13.2642,32.3651
KEN,Baseline,a,inc,2022,242.0807,137.323,366.5607
KEN,Baseline,pos,inc,2022,55.5625,35.5038,82.1056
KEN,COVID,a,inc,2022,246.8594,142.7487,370.6071
KEN,COVID,pos,inc,2022,56.5657,35.9701,83.8683
KEN,Baseline,a,mort,2022,54.6428,36.0768,77.5922
KEN,Baseline,pos,mort,2022,18.6479,11.3054,28.8193
KEN,COVID,a,mort,2022,56.1406,37.1321,78.6058
KEN,COVID,pos,mort,2022,19.2973,11.8108,29.6451
KEN,Baseline,a,inc,2023,236.2024,132.3297,359.7436
KEN,Baseline,pos,inc,2023,53.2174,34.1638,78.2015
KEN,COVID,a,inc,2023,239.8432,135.832,365.1184
KEN,COVID,pos,inc,2023,53.8271,34.2496,79.3673
KEN,Baseline,a,mort,2023,53.3006,34.7418,75.9269
KEN,Baseline,pos,mort,2023,17.8233,10.599,27.4772
KEN,COVID,a,mort,2023,54.2298,35.2643,76.4508
KEN,COVID,pos,mort,2023,18.1475,10.8357,27.8761
KEN,Baseline,a,inc,2024,232.3278,128.6863,357.7811
KEN,Baseline,pos,inc,2024,51.1662,32.9109,74.9843
KEN,COVID,a,inc,2024,236.0173,131.1255,361.9932
KEN,COVID,pos,inc,2024,51.5677,32.9442,75.8732
KEN,Baseline,a,mort,2024,52.5063,33.6168,74.5775
KEN,Baseline,pos,mort,2024,16.9139,10.1534,26.3435
KEN,COVID,a,mort,2024,53.1269,33.9834,74.9661
KEN,COVID,pos,mort,2024,17.1019,10.2545,26.5924
KGZ,Baseline,a,inc,2019,109.5028,93.0903,127.0329
KGZ,COVID,a,inc,2019,109.5028,93.0903,127.0329
KGZ,Baseline,a,mort,2019,4.9548,4.8597,5.1133
KGZ,COVID,a,mort,2019,4.9548,4.8597,5.1133
KGZ,Baseline,a,inc,2020,107.8331,91.7247,124.7296
KGZ,COVID,a,inc,2020,108.1162,92.2081,124.4795
KGZ,Baseline,a,mort,2020,4.8694,4.7379,5.0406
KGZ,COVID,a,mort,2020,6.1744,5.753,6.7232
KGZ,Baseline,a,inc,2021,106.6507,90.4399,122.862
KGZ,COVID,a,inc,2021,130.3434,105.3215,152.9468
KGZ,Baseline,a,mort,2021,4.7951,4.6245,5.0025
KGZ,COVID,a,mort,2021,10.4756,8.9585,12.5585
KGZ,Baseline,a,inc,2022,105.4282,89.5656,121.0229
KGZ,COVID,a,inc,2022,172.2432,121.7734,210.7547
KGZ,Baseline,a,mort,2022,4.7397,4.5373,4.9794
KGZ,COVID,a,mort,2022,12.9744,10.0649,15.5133
KGZ,Baseline,a,inc,2023,104.5129,89.0267,119.5836
KGZ,COVID,a,inc,2023,172.9325,118.5563,219.9712
KGZ,Baseline,a,mort,2023,4.6901,4.4635,4.9608
KGZ,COVID,a,mort,2023,8.1935,6.3137,9.7844
KGZ,Baseline,a,inc,2024,103.7932,88.5684,118.8991
KGZ,COVID,a,inc,2024,157.9354,105.2033,207.5215
KGZ,Baseline,a,mort,2024,4.6521,4.3917,4.9442
KGZ,COVID,a,mort,2024,7.2294,5.6034,8.8433
KHM,Baseline,a,inc,2019,287.4829,187.3684,409.226
KHM,COVID,a,inc,2019,287.4829,187.3684,409.226
KHM,Baseline,a,mort,2019,19.8416,12.9777,27.7585
KHM,COVID,a,mort,2019,19.8416,12.9777,27.7585
KHM,Baseline,a,inc,2020,285.4361,189.387,403.0863
KHM,COVID,a,inc,2020,280.1893,186.8788,393.747
KHM,Baseline,a,mort,2020,19.6177,12.8793,27.244
KHM,COVID,a,mort,2020,20.0626,13.27,27.7777
KHM,Baseline,a,inc,2021,284.4665,191.1802,398.0925
KHM,COVID,a,inc,2021,287.6915,197.1049,396.8605
KHM,Baseline,a,mort,2021,19.5206,12.8096,26.943
KHM,COVID,a,mort,2021,24.0879,15.8593,32.4469
KHM,Baseline,a,inc,2022,285.0146,191.616,392.8032
KHM,COVID,a,inc,2022,327.993,227.8484,443.1647
KHM,Baseline,a,mort,2022,19.4284,12.7636,26.7949
KHM,COVID,a,mort,2022,26.7822,17.6396,36.3613
KHM,Baseline,a,inc,2023,284.0297,192.14,389.9882
KHM,COVID,a,inc,2023,334.8908,228.1456,452.3286
KHM,Baseline,a,mort,2023,19.4499,12.7373,26.6931
KHM,COVID,a,mort,2023,23.2481,14.9763,31.8524
KHM,Baseline,a,inc,2024,284.3709,192.7181,389.3915
KHM,COVID,a,inc,2024,327.5392,221.4051,446.9051
KHM,Baseline,a,mort,2024,19.4464,12.7275,26.7337
KHM,COVID,a,mort,2024,22.6218,14.5429,30.9052
LSO,Baseline,a,inc,2019,639.1139,395.689,939.311
LSO,Baseline,pos,inc,2019,396.4592,240.6039,576.2149
LSO,COVID,a,inc,2019,639.1139,395.689,939.311
LSO,COVID,pos,inc,2019,396.4592,240.6039,576.2149
LSO,Baseline,a,mort,2019,219.2638,147.4304,299.9957
LSO,Baseline,pos,mort,2019,162.1179,98.4152,239.896
LSO,COVID,a,mort,2019,219.2638,147.4304,299.9957
LSO,COVID,pos,mort,2019,162.1179,98.4152,239.896
LSO,Baseline,a,inc,2020,607.1768,378.6537,905.4304
LSO,Baseline,pos,inc,2020,379.6649,215.6365,542.1098
LSO,COVID,a,inc,2020,592.3675,374.0362,876.5613
LSO,COVID,pos,inc,2020,365.5311,213.4891,515.2777
LSO,Baseline,a,mort,2020,205.9492,136.1566,282.0429
LSO,Baseline,pos,mort,2020,153.2764,93.8509,225.452
LSO,COVID,a,mort,2020,217.3989,147.2167,297.0545
LSO,COVID,pos,mort,2020,162.3149,99.4732,235.8028
LSO,Baseline,a,inc,2021,580.8347,363.6149,861.8997
LSO,Baseline,pos,inc,2021,356.3433,193.5236,514.6368
LSO,COVID,a,inc,2021,613.8106,378.8949,898.9236
LSO,COVID,pos,inc,2021,382.9132,211.4307,561.2395
LSO,Baseline,a,mort,2021,194.8363,124.3207,264.8705
LSO,Baseline,pos,mort,2021,144.2342,87.2735,213.1132
LSO,COVID,a,mort,2021,234.0958,158.6398,329.465
LSO,COVID,pos,mort,2021,171.6049,105.301,249.6079
LSO,Baseline,a,inc,2022,555.7667,342.8662,834.0411
LSO,Baseline,pos,inc,2022,340.3997,180.122,495.2805
LSO,COVID,a,inc,2022,635.1122,381.8368,940.5164
LSO,COVID,pos,inc,2022,383.7132,209.4576,575.7969
LSO,Baseline,a,mort,2022,183.6544,115.2184,251.7807
LSO,Baseline,pos,mort,2022,135.6526,80.2272,201.8086
LSO,COVID,a,mort,2022,230.0561,151.4366,330.2289
LSO,COVID,pos,mort,2022,165.2656,102.7043,251.0127
LSO,Baseline,a,inc,2023,539.4178,326.8342,808.7886
LSO,Baseline,pos,inc,2023,326.6803,169.9632,476.1564
LSO,COVID,a,inc,2023,616.089,349.4406,916.5659
LSO,COVID,pos,inc,2023,357.9522,193.2958,534.1604
LSO,Baseline,a,mort,2023,175.6179,108.2629,242.4538
LSO,Baseline,pos,mort,2023,128.0643,74.3844,191.8466
LSO,COVID,a,mort,2023,204.628,130.073,289.7226
LSO,COVID,pos,mort,2023,146.7219,87.1776,220.1053
LSO,Baseline,a,inc,2024,521.1511,319.4982,785.4198
LSO,Baseline,pos,inc,2024,314.5177,161.2937,457.5064
LSO,COVID,a,inc,2024,580.7091,337.7263,878.3545
LSO,COVID,pos,inc,2024,340.574,177.8389,505.7231
LSO,Baseline,a,mort,2024,168.7493,102.9219,234.6254
LSO,Baseline,pos,mort,2024,122.2686,68.7047,183.2868
LSO,COVID,a,mort,2024,190.3468,118.925,267.7551
LSO,COVID,pos,mort,2024,135.7014,79.4882,201.8205
MEX,Baseline,a,inc,2019,22.8955,17.9169,29.1639
MEX,COVID,a,inc,2019,22.8955,17.9169,29.1639
MEX,Baseline,a,mort,2019,2.3905,2.2046,2.6008
MEX,COVID,a,mort,2019,2.3905,2.2046,2.6008
MEX,Baseline,a,inc,2020,22.7243,17.663,29.0989
MEX,COVID,a,inc,2020,22.6343,17.3262,29.1248
MEX,Baseline,a,mort,2020,2.3709,2.1832,2.5862
MEX,COVID,a,mort,2020,2.8262,2.5788,3.1108
MEX,Baseline,a,inc,2021,22.5743,17.468,29.0384
MEX,COVID,a,inc,2021,25.0858,19.2074,32.3835
