iso3,year,measure,unit,age_group,sex,best,lo,hi,analysed
AUT,2020,inc,num,15-24,m,35.65,18.065166559493,53.234833440507,TRUE
AUT,2020,inc,num,15-24,f,14.95,7.57571500881963,22.3242849911804,TRUE
AUT,2020,inc,num,25-34,m,46,23.3098923348296,68.6901076651704,TRUE
AUT,2020,inc,num,25-34,f,34.5,17.4824192511222,51.5175807488778,TRUE
AUT,2020,inc,num,35-44,m,41.4,20.9789031013467,61.8210968986533,TRUE
AUT,2020,inc,num,35-44,f,18.4,9.32395693393185,27.4760430660682,TRUE
AUT,2020,inc,num,45-54,m,44.85,22.7271450264589,66.9728549735411,TRUE
AUT,2020,inc,num,45-54,f,17.25,8.74120962556111,25.7587903744389,TRUE
AUT,2020,inc,num,55-64,m,47.15,23.8926396432004,70.4073603567997,TRUE
AUT,2020,inc,num,55-64,f,20.7,10.4894515506733,30.9105484493267,TRUE
AUT,2020,inc,num,5-14,m,1.15,0.582747308370741,1.71725269162926,TRUE
AUT,2020,inc,num,5-14,f,4.6,2.33098923348296,6.86901076651704,TRUE
AUT,2020,inc,num,65plus,m,67.85,34.3820911938737,101.317908806126,TRUE
AUT,2020,inc,num,65plus,f,36.8,18.6479138678637,54.9520861321363,TRUE
AUT,2020,inc,num,0-14,m,4.6,3.64422707672223,5.55577292327777,TRUE
AUT,2020,inc,num,0-14,f,9.2,7.28845415344446,11.1115458465555,TRUE
AUT,2020,inc,num,15plus,m,282.9,224.119965218417,341.680034781583,TRUE
AUT,2020,inc,num,15plus,f,142.6,112.971039378389,172.228960621611,TRUE
AUT,2020,inc,num,0-14,a,13.8,11.6651235606352,15.9348764393648,TRUE
AUT,2020,inc,num,15plus,a,425.5,359.674643119585,491.325356880416,TRUE
AUT,2020,inc,num,a,m,287.5,229.259792382015,345.740207617985,TRUE
AUT,2020,inc,num,a,f,151.8,121.049170377704,182.550829622296,TRUE
AUT,2020,inc,num,a,a,439.3,373.440032600635,505.159967399365,TRUE
AZE,2020,inc,num,,m,95.5576666072483,16.1012056829295,175.014127531567,TRUE
AZE,2020,inc,num,,f,79.2599454249493,13.3550842021929,145.164806647706,TRUE
AZE,2020,inc,num,,m,88.0665317893309,14.8389699379151,161.294093640747,TRUE
AZE,2020,inc,num,,f,90.69225160627,15.2813965514912,166.103106661049,TRUE
AZE,2020,inc,num,,m,909.401137314031,153.231606422175,1665.57066820589,TRUE
AZE,2020,inc,num,,f,463.885990227418,78.1635216437415,849.608458811094,TRUE
AZE,2020,inc,num,,m,790.64218062421,133.221046764914,1448.06331448351,TRUE
AZE,2020,inc,num,,f,452.415058229522,76.2307009499071,828.599415509137,TRUE
AZE,2020,inc,num,,m,535.864759336881,90.2917475348042,981.437771138958,TRUE
AZE,2020,inc,num,,f,276.697267763574,46.6227334587092,506.771802068439,TRUE
AZE,2020,inc,num,,m,548.998906349508,92.5048154133799,1005.49299728564,TRUE
AZE,2020,inc,num,,f,225.534619482558,38.0019670408577,413.067271924259,TRUE
AZE,2020,inc,num,,m,520.223673239868,87.6562672714831,952.791079208253,TRUE
AZE,2020,inc,num,,f,250.120389553953,42.1446021097921,458.096176998113,TRUE
AZE,2020,inc,num,,m,271.259064770857,45.7064111159803,496.811718425734,TRUE
AZE,2020,inc,num,,f,189.435211229994,31.9193154029148,346.951107057073,TRUE
AZE,2020,inc,num,15plus,m,3760.01392003194,2479.39929472052,5040.62854534335,TRUE
AZE,2020,inc,num,15plus,f,2028.04073351824,1337.31493321357,2718.7665338229,TRUE
AZE,2020,inc,num,15plus,a,5788.05465355017,4333.03714514417,7243.07216195618,TRUE
AZE,2020,inc,num,a,m,3760.01392003194,2479.39929472052,5040.62854534335,TRUE
AZE,2020,inc,num,a,f,2028.04073351824,1337.31493321357,2718.7665338229,TRUE
AZE,2020,inc,num,a,a,5788.05465355017,4333.03714514417,7243.07216195618,TRUE
