Region,ISO3,Scenario,xx,xx,2019,2020,2021,2022,2023,2024
xx,xx,With COVID,xx,lo,2.4408,2.3808,2.5531,2.7761,2.7093,2.5528
xx,xx,xx,xx,md,2.8878,2.8295,3.0658,3.4108,3.3203,3.1118
xx,xx,xx,xx,hi,3.45,3.385,3.6272,4.4297,4.3214,4.0802
xx,ITA,Baseline,xx,lo,5.2627,5.1836,5.1219,5.0668,5.0131,4.9632
xx,xx,xx,xx,md,5.9908,5.9119,5.8379,5.7797,5.7161,5.6667
xx,xx,xx,xx,hi,6.8678,6.7899,6.7287,6.6856,6.643,6.6182
xx,xx,With COVID,xx,lo,5.2627,5.1354,5.4734,5.8977,5.6939,5.3858
xx,xx,xx,xx,md,5.9908,5.8651,6.3399,7.0859,6.8841,6.4856
xx,xx,xx,xx,hi,6.8678,6.771,7.5235,9.1488,8.8238,8.1853
xx,LTU,Baseline,xx,lo,35.326,34.9501,34.8666,34.2982,33.901,33.5548
xx,xx,xx,xx,md,41.7723,41.1953,40.6858,40.4009,39.9694,39.5311
xx,xx,xx,xx,hi,48.3016,47.9081,47.2706,46.7027,46.1869,45.7107
xx,xx,With COVID,xx,lo,35.326,34.5579,37.3361,40.1553,38.7133,36.3231
xx,xx,xx,xx,md,41.7723,40.9856,43.9834,49.0197,47.4834,44.5521
xx,xx,xx,xx,hi,48.3016,47.5988,53.0207,64.8022,62.9954,59.341
xx,LUX,Baseline,xx,lo,7.4622,7.3553,7.2687,7.1994,7.128,7.0602
xx,xx,xx,xx,md,8.9813,8.8581,8.7547,8.6565,8.5828,8.4893
xx,xx,xx,xx,hi,10.1356,10.019,9.9069,9.8327,9.7382,9.6791
xx,xx,With COVID,xx,lo,7.4622,7.3215,7.8003,8.5381,8.2307,7.8282
xx,xx,xx,xx,md,8.9813,8.7656,9.4683,10.4958,10.1436,9.5846
xx,xx,xx,xx,hi,10.1357,9.896,11.1879,13.4468,13.3695,12.6037
xx,MDA,Baseline,xx,lo,67.5601,66.7425,66.0288,65.3804,64.7762,64.015
xx,xx,xx,xx,md,79.7277,78.8513,78.0489,77.2937,76.584,75.8791
xx,xx,xx,xx,hi,94.5222,93.6316,92.6618,91.7308,90.6554,89.6788
xx,xx,With COVID,xx,lo,67.5601,66.2281,70.202,75.4999,72.7094,69.0545
xx,xx,xx,xx,md,79.7277,78.3349,84.4081,94.6709,91.751,86.1077
xx,xx,xx,xx,hi,94.5222,92.5641,103.5173,122.0053,119.3635,111.9499
xx,MNE,Baseline,xx,lo,12.938,12.7475,12.5524,12.4081,12.2733,12.145
xx,xx,xx,xx,md,14.826,14.6114,14.4368,14.2989,14.1444,14.025
xx,xx,xx,xx,hi,17.297,17.0368,16.813,16.6144,16.432,16.2921
xx,xx,With COVID,xx,lo,12.938,12.6317,13.3245,14.0467,13.7258,13.1297
xx,xx,xx,xx,md,14.826,14.5044,15.6878,17.5316,16.9333,15.931
xx,xx,xx,xx,hi,17.297,16.9563,18.2834,22.5886,22.3999,21.0713
xx,NLD,Baseline,xx,lo,4.3181,4.2616,4.2003,4.1473,4.1008,4.0591
xx,xx,xx,xx,md,4.9584,4.8902,4.8347,4.7779,4.7256,4.6851
xx,xx,xx,xx,hi,5.7875,5.7016,5.6283,5.5635,5.5234,5.502
xx,xx,With COVID,xx,lo,4.3181,4.219,4.4842,4.9419,4.772,4.5399
xx,xx,xx,xx,md,4.9584,4.8414,5.2338,5.8886,5.714,5.362
xx,xx,xx,xx,hi,5.7875,5.653,6.2395,7.6935,7.5924,7.0578
xx,PRT,Baseline,xx,lo,16.8569,16.6184,16.382,16.1665,16.0045,15.8483
xx,xx,xx,xx,md,18.9207,18.6508,18.4444,18.2284,18.0439,17.858
xx,xx,xx,xx,hi,21.4549,21.1313,20.9356,20.8215,20.6138,20.4238
xx,xx,With COVID,xx,lo,16.8569,16.4358,17.5566,19.1997,18.5608,17.5523
xx,xx,xx,xx,md,18.9207,18.5152,19.989,22.1541,21.5519,20.2099
xx,xx,xx,xx,hi,21.4549,21.0577,22.9873,28.3154,28.12,26.4938
xx,SRB,Baseline,xx,lo,11.8625,11.6704,11.5382,11.418,11.3042,11.1948
xx,xx,xx,xx,md,13.8687,13.6897,13.5251,13.3805,13.2501,13.119
