iso3,year,hiv,tb,ill_def,tb_seq,total,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
TTO,2004,311,19,155,3,9868,19,0.0157073368463721,0.0157073368463721,22,0.136363636363636,0.00226500566251416,high,100,100,90,92,no,TRUE,10071.305,10071.305,13,0.979813440264196,22.8115628539071,0.210375193770442,1290115,9855.0919,1.0219392271725
TTO,2005,318,18,171,2,9880,18,0.0173076923076923,0.0173076923076923,20,0.1,0.0020599443815017,high,100,100,90,92,no,TRUE,10105.934,10105.934,8,0.977643432066744,20.817661963127,0.212772629356058,1369075,9865.4893,1.02437230356126
TTO,2006,293,44,156,,9661,44,0.0161473967498189,0.0161473967498189,44,,0.00462914255654918,high,100,100,90,92,no,TRUE,9891.723,9891.723,8,0.976675145472634,45.7901958968964,0.465758072799461,1376919,9711.596,1.01854762080301
TTO,2007,251,16,168,3,9642,16,0.0174237710018668,0.0174237710018668,19,0.157894736842105,0.00200548870593202,high,100,100,90,92,no,TRUE,9869.237,9869.237,8,0.976975221083453,19.7926433396665,0.206427722599741,1384861,9800.6367,1.00699957585409
TTO,2008,245,21,199,,10453,21,0.0190375968621448,0.0190375968621448,21,,0.00204798127559977,high,100,100,90,92,no,TRUE,10643.083,10643.083,8,0.982140231359654,21.7968346986542,0.206767550103775,1392803,10290.633,1.03424959378106
TTO,2009,233,20,151,1,9682,20,0.0155959512497418,0.0155959512497418,21,0.0476190476190476,0.00220333648095688,high,100,100,90,92,no,TRUE,9844.912,9844.912,8,0.983452162904046,21.6916537614101,0.178608498991496,1401191,9954.4421,0.988996862013995
TTO,2010,226,20,154,2,10203,20,0.0150935999215917,0.0150935999215917,22,0.0909090909090909,0.00218927256443427,high,100,100,90,92,no,TRUE,10371.431,10371.431,8,0.983760100221464,22.7058893422231,0.182134605595142,1410296,9890.5733,1.04861777830412
TTO,2011,218,18,121,,9429,18,0.0128327500265139,0.0128327500265139,18,,0.00193382036957456,high,100,100,90,92,no,TRUE,9600.413,9600.413,8,0.982145247293007,18.5654742157284,0.145809680163403,1420020,9667.5449,0.993055951568428
TTO,2012,221,18,126,1,9605,18,0.0131181676210307,0.0131181676210307,19,0.0526315789473684,0.00200443084713577,high,100,100,90,92,no,TRUE,9803.134,9803.134,8,0.979788708386522,19.6497041882055,0.167980198790478,1430377,9511.0113,1.03071415759962
TUN,2009,14,70,1475,16,19473,70,0.0757459045858368,0.0757459045858368,86,0.186046511627907,0.00477830870096677,low,89,90,58,66,no,FALSE,57337.58,57337.58,3,0.339620193248477,273.976657406379,149.712837984371,10784504,56622.864,1.01262239225483
TUN,2013,7,63,3619,1,20799,63,0.173998749939901,0.173998749939901,64,0.015625,0.00372526193247963,low,89,90,58,66,no,FALSE,61510.44,61510.44,3,0.338137721011262,229.142500582072,147.817052874033,11300284,60734.43,1.01277710188438
TUN,2017,11,43,3923,0,21751,43,0.18035952370006,0.18035952370006,43,0,0.00241193628000897,low,89,90,58,66,no,FALSE,65956.03,65956.03,3,0.329780309700265,159.08174164236,107.36328856596,11811443,65597.309,1.00546853225336
TUR,2000,,818,17025,,174315,818,0.0976680148007917,0.0976680148007917,818,,0.00520058490685994,medium,73,91,58,71,no,TRUE,301183.7,301183.7,18,0.578766380783555,1566.33140441223,358.231961992295,63240196,336050.81,0.89624452921271
TUR,2001,,722,16100,,175137,722,0.0919280334823595,0.0919280334823595,722,,0.00453982406609783,medium,73,91,58,71,no,TRUE,300209.3,300209.3,18,0.583382993131792,1362.89740500638,302.450626786192,64192243,337930.22,0.888376600352582
TUR,2002,,614,15587,,175434,614,0.088848227823569,0.088848227823569,614,,0.00384117312179772,medium,73,91,58,71,no,TRUE,300919.6,300919.6,18,0.582992932331427,1155.88427934212,255.030749069296,65145357,342025.76,0.879815602193238
TUR,2003,,538,17827,,184330,538,0.096712417946075,0.096712417946075,538,,0.00323117301189768,medium,73,91,58,71,no,TRUE,298170.3,298170.3,18,0.618203758053703,963.439826309436,190.467319872063,66089402,339521.98,0.878206176813649
TUR,2004,,301,23361,,181839,301,0.128470790094534,0.128470790094534,301,,0.00189931725539192,medium,73,91,58,71,no,TRUE,294419.2,294419.2,18,0.617619367215182,559.195466878683,119.918384258459,67010930,334720.76,0.879596473191564
