country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
Uganda,UGA,AFR,2011,Survey,1,A,1209,,1.4,0.6,2.2,,0.2,0.1,0.6,,,,,,,,,,,,,,,,,,,,1.4,0.6,2.2,2011,Survey,1,A,116,,12.1,6.8,19.4,,0,,,,,,,,,,,,,,,,,,,,,,5.2,1.9,10
Ukraine,UKR,EUR,2021,Surveillance,1,A,9237,1881,,,,,,,,,,,,,9237,2418,,,,2636,,,,2418,,,,,,,,2021,Surveillance,1,A,3977,1218,,,,,,,,,,,,,3977,1607,,,,1451,,,,1607,,,,,,,
Uruguay,URY,AMR,2021,Surveillance,1,N,491,0,,,,,,,,,,,,,510,1,,,,4,,,,1,,,,,,,,2018,Surveillance,1,A,81,0,,,,,,,,,,,,,81,0,,,,1,,,,0,,,,,,,
United States of America,USA,AMR,2021,Surveillance,1,A,4797,59,,,,,,,,,,,,,4814,74,,,,430,,,,74,,,,,,,,2021,Surveillance,1,A,193,9,,,,,,,,,,,,,195,13,,,,25,,,,12,,,,,,,
Uzbekistan,UZB,EUR,2021,Surveillance,1,A,4929,792,,,,,,,,,,,,,4929,912,,,,913,,,,912,,,,,,,,2021,Surveillance,1,A,1868,718,,,,,,,,,,,,,1868,740,,,,740,,,,740,,,,,,,
Saint Vincent and the Grenadines,VCT,AMR,2020,Surveillance,1,N,13,0,,,,,,,,,,,,,13,0,,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,WPR,2012,Survey,1,A,1105,,4,2.5,5.4,,0.09,0,0.5,,,,,,,,,,,,,,,,,,,,14.3,12.3,16.5,2012,Survey,1,A,195,,23.3,16.7,29.9,,1,0.1,3.7,,,,,,,,,,,,,,,,,,,,17.4,12.4,23.5
Vanuatu,VUT,WPR,2020,Surveillance,1,N,43,0,,,,,,,,,,,,,43,0,,,,43,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna Islands,WLF,WPR,2019,Surveillance,1,N,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,WSM,WPR,2019,Surveillance,1,N,14,0,,,,,,,,,,,,,14,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,YEM,EMR,2011,Survey,1,A,1108,,1.7,0.5,3,,0.6,0,1.3,,,,,,,,,,,,,,,,,,,,1.9,1,2.8,2011,Survey,1,A,129,,14.9,8.1,21.7,,3.2,0.1,6.3,,,,,,,,,,,,,,,,,,,,1.5,0,3.6
South Africa,ZAF,AFR,2021,Surveillance,1,A,92888,1548,,,,,,,,,,,,,92888,3665,,,,1569,,,,3665,,,,,,,,2021,Surveillance,1,A,10204,1269,,,,,,,,,,,,,10204,2716,,,,1279,,,,2716,,,,,,,
Zambia,ZMB,AFR,2008,Survey,1,A,604,,0.3,0.04,1.19,,0.8,0.3,1.9,,,,,,,,,,,,,,,,,,,,5.3,3.7,7.4,2008,Survey,1,A,136,,8.1,4.1,14,,10.3,5.7,16.6,,,,,,,,,,,,,,,,,,,,11.8,6.9,18.4
