iso3,scenario,hiv,measure,year,best,lo,hi
CRI,COVID,a,inc,2022,11.4556,8.4837,15.4785
CRI,Baseline,a,mort,2022,0.9446,0.83647,1.0577
CRI,COVID,a,mort,2022,1.3749,1.1537,1.6547
CRI,Baseline,a,inc,2023,9.6553,7.5627,12.6546
CRI,COVID,a,inc,2023,11.122,8.2461,15.1423
CRI,Baseline,a,mort,2023,0.93822,0.82701,1.051
CRI,COVID,a,mort,2023,1.1058,0.92407,1.3454
CRI,Baseline,a,inc,2024,9.6236,7.4914,12.5911
CRI,COVID,a,inc,2024,10.6549,7.942,14.4537
CRI,Baseline,a,mort,2024,0.9321,0.8178,1.046
CRI,COVID,a,mort,2024,1.0385,0.87333,1.2611
CUB,Baseline,a,inc,2019,6.4562,5.5411,7.7053
CUB,COVID,a,inc,2019,6.4562,5.5411,7.7053
CUB,Baseline,a,mort,2019,0.46505,0.41601,0.52981
CUB,COVID,a,mort,2019,0.46505,0.41601,0.52981
CUB,Baseline,a,inc,2020,6.4015,5.5043,7.6732
CUB,COVID,a,inc,2020,6.3313,5.3976,7.5893
CUB,Baseline,a,mort,2020,0.46088,0.40992,0.52919
CUB,COVID,a,mort,2020,0.53193,0.46165,0.61929
CUB,Baseline,a,inc,2021,6.3297,5.4594,7.6323
CUB,COVID,a,inc,2021,6.8121,5.8161,8.1326
CUB,Baseline,a,mort,2021,0.45785,0.40626,0.52863
CUB,COVID,a,mort,2021,0.6535,0.5546,0.7897
CUB,Baseline,a,inc,2022,6.2866,5.4106,7.5934
CUB,COVID,a,inc,2022,7.3737,6.0783,9.0942
CUB,Baseline,a,mort,2022,0.45549,0.40264,0.52807
CUB,COVID,a,mort,2022,0.65637,0.56021,0.81002
CUB,Baseline,a,inc,2023,6.2367,5.3607,7.5787
CUB,COVID,a,inc,2023,7.1811,5.8749,8.9432
CUB,Baseline,a,mort,2023,0.4536,0.39866,0.52728
CUB,COVID,a,mort,2023,0.52929,0.43997,0.65957
CUB,Baseline,a,inc,2024,6.2108,5.3205,7.5423
CUB,COVID,a,inc,2024,6.9009,5.6752,8.5171
CUB,Baseline,a,mort,2024,0.451,0.39414,0.52458
CUB,COVID,a,mort,2024,0.49822,0.41997,0.61842
DEU,Baseline,a,inc,2019,6.3421,5.4676,7.2609
DEU,COVID,a,inc,2019,6.3421,5.4676,7.2609
DEU,Baseline,a,mort,2019,0.34669,0.32606,0.36912
DEU,COVID,a,mort,2019,0.34669,0.32606,0.36912
DEU,Baseline,a,inc,2020,6.2603,5.403,7.1207
DEU,COVID,a,inc,2020,6.2183,5.3169,7.1087
DEU,Baseline,a,mort,2020,0.34181,0.32158,0.36625
DEU,COVID,a,mort,2020,0.39039,0.36225,0.42142
DEU,Baseline,a,inc,2021,6.177,5.3455,7.0321
DEU,COVID,a,inc,2021,6.7306,5.7591,7.768
DEU,Baseline,a,mort,2021,0.33769,0.31536,0.3625
DEU,COVID,a,mort,2021,0.55464,0.48611,0.62255
DEU,Baseline,a,inc,2022,6.1174,5.2872,6.9537
DEU,COVID,a,inc,2022,7.3903,6.223,9.5368
DEU,Baseline,a,mort,2022,0.33434,0.31131,0.36027
DEU,COVID,a,mort,2022,0.58061,0.51159,0.71569
DEU,Baseline,a,inc,2023,6.0611,5.232,6.8797
DEU,COVID,a,inc,2023,7.165,5.9537,9.3952
DEU,Baseline,a,mort,2023,0.33063,0.30757,0.35749
DEU,COVID,a,mort,2023,0.4184,0.36165,0.53881
DEU,Baseline,a,inc,2024,6.0209,5.1627,6.8221
DEU,COVID,a,inc,2024,6.7805,5.6593,8.8949
DEU,Baseline,a,mort,2024,0.32705,0.30401,0.35654
DEU,COVID,a,mort,2024,0.37901,0.33084,0.49778
DOM,Baseline,a,inc,2019,42.211,31.3843,53.3139
DOM,COVID,a,inc,2019,42.211,31.3843,53.3139
DOM,Baseline,a,mort,2019,3.9628,2.4447,6.0769
DOM,COVID,a,mort,2019,3.9628,2.4447,6.0769
DOM,Baseline,a,inc,2020,41.8173,31.3275,53.1147
DOM,COVID,a,inc,2020,41.3432,30.9392,52.7361
DOM,Baseline,a,mort,2020,3.9099,2.4228,6.0396
DOM,COVID,a,mort,2020,4.5572,2.8001,6.9539
DOM,Baseline,a,inc,2021,41.3656,31.2821,52.9452
DOM,COVID,a,inc,2021,44.5244,33.4301,57.1287
DOM,Baseline,a,mort,2021,3.9084,2.4027,6.0022
DOM,COVID,a,mort,2021,5.6432,3.3882,8.7125
DOM,Baseline,a,inc,2022,41.1221,31.173,52.7729
DOM,COVID,a,inc,2022,47.5448,34.3884,61.9921
DOM,Baseline,a,mort,2022,3.8593,2.3839,5.9663
DOM,COVID,a,mort,2022,5.6537,3.4168,8.9343
DOM,Baseline,a,inc,2023,40.9119,31.0565,52.7115
DOM,COVID,a,inc,2023,46.2964,33.6849,61.1597
DOM,Baseline,a,mort,2023,3.822,2.3661,5.9314
DOM,COVID,a,mort,2023,4.614,2.7462,7.4497
DOM,Baseline,a,inc,2024,40.5135,30.9506,52.673
DOM,COVID,a,inc,2024,44.5861,32.8929,58.9405
DOM,Baseline,a,mort,2024,3.8017,2.349,5.9228
DOM,COVID,a,mort,2024,4.3153,2.5704,7.0334
ECU,Baseline,a,inc,2019,45.1742,34.2345,58.3876
ECU,COVID,a,inc,2019,45.1742,34.2345,58.3876
ECU,Baseline,a,mort,2019,4.6281,3.9134,5.3964
ECU,COVID,a,mort,2019,4.6281,3.9134,5.3964
ECU,Baseline,a,inc,2020,44.6783,33.6792,57.831
ECU,COVID,a,inc,2020,44.2499,33.1891,57.2571
ECU,Baseline,a,mort,2020,4.566,3.87,5.3745
ECU,COVID,a,mort,2020,5.2787,4.4886,6.1796
ECU,Baseline,a,inc,2021,44.3273,33.2074,57.334
ECU,COVID,a,inc,2021,47.7433,35.4863,61.867
ECU,Baseline,a,mort,2021,4.5465,3.8258,5.3609
ECU,COVID,a,mort,2021,6.4943,5.4469,7.7996
ECU,Baseline,a,inc,2022,44.0525,32.8,56.877
ECU,COVID,a,inc,2022,51.1897,37.9352,68.6436
ECU,Baseline,a,mort,2022,4.4989,3.7899,5.3485
ECU,COVID,a,mort,2022,6.5003,5.3464,8.045
ECU,Baseline,a,inc,2023,43.744,32.4422,56.4473
ECU,COVID,a,inc,2023,50.0139,36.413,67.9798
ECU,Baseline,a,mort,2023,4.4647,3.7565,5.3369
ECU,COVID,a,mort,2023,5.2337,4.2084,6.6645
ECU,Baseline,a,inc,2024,43.5507,32.1228,56.0368
ECU,COVID,a,inc,2024,47.7977,34.6729,64.3136
ECU,Baseline,a,mort,2024,4.4425,3.7233,5.3259
ECU,COVID,a,mort,2024,4.9435,3.9882,6.2479
EST,Baseline,a,inc,2019,12.8054,10.9625,15.2708
EST,COVID,a,inc,2019,12.8054,10.9625,15.2708
EST,Baseline,a,mort,2019,1.4902,1.2883,1.7009
EST,COVID,a,mort,2019,1.4902,1.2883,1.7009
EST,Baseline,a,inc,2020,12.6242,10.781,15.1217
EST,COVID,a,inc,2020,12.5237,10.6692,15.0515
EST,Baseline,a,mort,2020,1.4651,1.2692,1.6755
EST,COVID,a,mort,2020,1.6717,1.4346,1.9331
EST,Baseline,a,inc,2021,12.4693,10.6151,14.9602
EST,COVID,a,inc,2021,13.5272,11.6458,16.5418
EST,Baseline,a,mort,2021,1.4406,1.2488,1.6498
